Entity,Code,Year,Social Expenditure %GDP - (OWID extrapolated series) (%)
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.93012553
Australia,AUS,1961,6.333481916
Australia,AUS,1962,6.285261018
Australia,AUS,1963,6.199258799
Australia,AUS,1964,5.976754619
Australia,AUS,1965,6.059972782
Australia,AUS,1966,5.921643458
Australia,AUS,1967,5.652750976
Australia,AUS,1968,5.676263156
Australia,AUS,1969,5.849024071
Australia,AUS,1970,5.914159614
Australia,AUS,1971,6.211192705
Australia,AUS,1972,6.638595805
Australia,AUS,1973,7.012542058
Australia,AUS,1974,8.39848658
Australia,AUS,1975,10.15894538
Australia,AUS,1976,10.59740856
Australia,AUS,1977,10.9222346
Australia,AUS,1978,10.6378896
Australia,AUS,1979,10.29641421
Australia,AUS,1980,10.268
Australia,AUS,1985,12.088
Australia,AUS,1990,13.131
Australia,AUS,1995,16.871
Australia,AUS,2000,18.242
Australia,AUS,2005,16.681
Australia,AUS,2010,16.706
Australia,AUS,2013,18.109
Australia,AUS,2014,18.697
Australia,AUS,2015,18.794
Australia,AUS,2016,19.146
Austria,AUT,1880,0
Austria,AUT,1890,0
Austria,AUT,1900,0
Austria,AUT,1910,0
Austria,AUT,1920,0
Austria,AUT,1930,1.2
Austria,AUT,1960,14.99186298
Austria,AUT,1961,14.99976284
Austria,AUT,1962,15.90124034
Austria,AUT,1963,16.29504608
Austria,AUT,1964,16.2562269
Austria,AUT,1965,16.46515979
Austria,AUT,1966,16.70533011
Austria,AUT,1967,17.5085993
Austria,AUT,1968,17.04526279
Austria,AUT,1969,17.88484547
Austria,AUT,1970,17.84083333
Austria,AUT,1971,17.98526652
Austria,AUT,1972,17.83411503
Austria,AUT,1973,17.67992692
Austria,AUT,1974,18.13958036
Austria,AUT,1975,19.78976937
Austria,AUT,1976,20.49304033
Austria,AUT,1977,20.49407434
Austria,AUT,1978,22.12682645
Austria,AUT,1979,22.07379021
Austria,AUT,1980,21.959
Austria,AUT,1985,23.261
Austria,AUT,1990,23.205
Austria,AUT,1995,25.998
Austria,AUT,2000,25.487
Austria,AUT,2005,25.936
Austria,AUT,2010,27.577
Austria,AUT,2013,27.559
Austria,AUT,2014,27.854
Austria,AUT,2015,28.03
Austria,AUT,2016,27.786
Belgium,BEL,1880,0.17
Belgium,BEL,1890,0.22
Belgium,BEL,1900,0.26
Belgium,BEL,1910,0.43
Belgium,BEL,1920,0.52
Belgium,BEL,1930,0.56
Belgium,BEL,1960,10.02010637
Belgium,BEL,1961,10.48927026
Belgium,BEL,1962,10.99132453
Belgium,BEL,1963,11.41547067
Belgium,BEL,1964,11.42834488
Belgium,BEL,1965,12.24171024
Belgium,BEL,1966,12.98460026
Belgium,BEL,1967,13.38371551
Belgium,BEL,1968,14.40560157
Belgium,BEL,1969,14.41783948
Belgium,BEL,1970,14.68352941
Belgium,BEL,1971,14.96647344
Belgium,BEL,1972,15.86459354
Belgium,BEL,1973,16.28269833
Belgium,BEL,1974,16.89191045
Belgium,BEL,1975,20.39080258
Belgium,BEL,1976,21.38051374
Belgium,BEL,1977,22.55010485
Belgium,BEL,1978,22.81756082
Belgium,BEL,1979,23.00717358
Belgium,BEL,1980,23.079
